Quarter,Department,Location,Category,Budgeted_Amount,Actual_Spending
Q2 2023,HR,Boston,Maintenance,293822,735259
Q2 2023,HR,Boston,Software Licenses,77218,291490
Q2 2023,HR,Boston,Healthcare,588518,1039446
Q2 2023,HR,Boston,Security,771044,210296
Q2 2023,HR,Boston,Catering,337199,693498
Q2 2023,HR,Boston,Transportation,450589,607582
Q2 2023,HR,Boston,Legal Fees,687840,309510
Q2 2023,HR,Los Angeles,Salaries,479446,348408
Q2 2023,HR,Los Angeles,Office Supplies,463052,82791
Q2 2023,HR,Los Angeles,Travel,335402,355624
Q2 2023,HR,Los Angeles,Training,40986,255869
Q2 2023,HR,Los Angeles,Equipment,680520,486514
Q2 2023,HR,Los Angeles,Utilities,348739,684244
Q2 2023,HR,Los Angeles,Miscellaneous,626646,677303
Q2 2023,HR,Los Angeles,Marketing,473327,123572
Q2 2023,HR,Los Angeles,Consulting,328073,977030
Q2 2023,HR,Los Angeles,Maintenance,598794,666382
Q2 2023,HR,Los Angeles,Software Licenses,35911,978269
Q2 2023,HR,Los Angeles,Healthcare,874559,1065492
Q2 2023,HR,Los Angeles,Security,426037,707212
Q2 2023,HR,Los Angeles,Catering,731399,704977
Q2 2023,HR,Los Angeles,Transportation,979039,234782
Q2 2023,HR,Los Angeles,Legal Fees,900885,206183
Q2 2023,HR,Seattle,Salaries,609746,292599
Q2 2023,HR,Seattle,Office Supplies,13175,189674
Q2 2023,HR,Seattle,Travel,906667,932497
Q2 2023,HR,Seattle,Training,317915,212084
Q2 2023,HR,Seattle,Equipment,500876,437241
Q2 2023,HR,Seattle,Utilities,914589,214607
Q2 2023,HR,Seattle,Miscellaneous,646588,474618
Q2 2023,HR,Seattle,Marketing,612213,939513
Q2 2023,HR,Seattle,Consulting,769734,243518
Q2 2023,HR,Seattle,Maintenance,67358,717967
Q2 2023,HR,Seattle,Software Licenses,411543,548174
Q2 2023,HR,Seattle,Healthcare,48057,476043
Q2 2023,HR,Seattle,Security,269294,370278
Q2 2023,HR,Seattle,Catering,791857,588171
Q2 2023,HR,Seattle,Transportation,255726,663443
Q2 2023,HR,Seattle,Legal Fees,279176,263199
Q2 2023,HR,Austin,Salaries,527486,208427
Q2 2023,HR,Austin,Office Supplies,979004,822282
Q2 2023,HR,Austin,Travel,709754,271688
Q2 2023,HR,Austin,Training,938583,418772
Q2 2023,HR,Austin,Equipment,168292,842264
Q2 2023,HR,Austin,Utilities,960378,829919
Q2 2023,HR,Austin,Miscellaneous,145931,177975
Q2 2023,HR,Austin,Marketing,444676,394607
Q2 2023,HR,Austin,Consulting,163491,1055653
Q2 2023,HR,Austin,Maintenance,382009,849092
Q2 2023,HR,Austin,Software Licenses,402921,134132
Q2 2023,HR,Austin,Healthcare,961384,287685
Q2 2023,HR,Austin,Security,261910,382664
Q2 2023,HR,Austin,Catering,24236,765552
Q2 2023,HR,Austin,Transportation,88955,783533
Q2 2023,HR,Austin,Legal Fees,741874,435558
Q2 2023,HR,Miami,Salaries,628433,350560
Q2 2023,HR,Miami,Office Supplies,671718,95315
Q2 2023,HR,Miami,Travel,231785,220401
Q2 2023,HR,Miami,Training,95914,734082
Q2 2023,HR,Miami,Equipment,890302,296977
Q2 2023,HR,Miami,Utilities,208990,13738
Q2 2023,HR,Miami,Miscellaneous,379387,994999
Q2 2023,HR,Miami,Marketing,539884,425831
Q2 2023,HR,Miami,Consulting,952076,1069420
Q2 2023,HR,Miami,Maintenance,997261,940279
Q2 2023,HR,Miami,Software Licenses,657639,339408
Q2 2023,HR,Miami,Healthcare,195269,546301
Q2 2023,HR,Miami,Security,898928,1005535
Q2 2023,HR,Miami,Catering,393417,673931
Q2 2023,HR,Miami,Transportation,981020,822285
Q2 2023,HR,Miami,Legal Fees,139155,249766
Q2 2023,HR,Denver,Salaries,121674,446092
Q2 2023,HR,Denver,Office Supplies,907739,1079090
Q2 2023,HR,Denver,Travel,782817,690546
Q2 2023,HR,Denver,Training,765757,317992
Q2 2023,HR,Denver,Equipment,936275,356239
Q2 2023,HR,Denver,Utilities,948479,12826
Q2 2023,HR,Denver,Miscellaneous,964152,106947
Q2 2023,HR,Denver,Marketing,257713,884506
Q2 2023,HR,Denver,Consulting,442501,289788
Q2 2023,HR,Denver,Maintenance,544351,353359
Q2 2023,HR,Denver,Software Licenses,68642,55508
Q2 2023,HR,Denver,Healthcare,91093,457941
Q2 2023,HR,Denver,Security,508606,412828
Q2 2023,HR,Denver,Catering,218215,827813
Q2 2023,HR,Denver,Transportation,956103,440644
Q2 2023,HR,Denver,Legal Fees,708280,288049
Q2 2023,IT,New York,Salaries,684889,515339
Q2 2023,IT,New York,Office Supplies,36954,332101
Q2 2023,IT,New York,Travel,28856,1044640
Q2 2023,IT,New York,Training,527861,771602
Q2 2023,IT,New York,Equipment,996848,265291
Q2 2023,IT,New York,Utilities,560655,751182
Q2 2023,IT,New York,Miscellaneous,496553,148982
Q2 2023,IT,New York,Marketing,763092,194042
Q2 2023,IT,New York,Consulting,887040,923227
Q2 2023,IT,New York,Maintenance,323918,707961
Q2 2023,IT,New York,Software Licenses,24752,456787
Q2 2023,IT,New York,Healthcare,842461,125726
Q2 2023,IT,New York,Security,149757,81947
Q2 2023,IT,New York,Catering,917714,221668
Q2 2023,IT,New York,Transportation,314837,121587
Q2 2023,IT,New York,Legal Fees,117739,965037
Q2 2023,IT,San Francisco,Salaries,843393,115227
Q2 2023,IT,San Francisco,Office Supplies,239009,148863
Q2 2023,IT,San Francisco,Travel,781316,678713
Q2 2023,IT,San Francisco,Training,208980,612581
Q2 2023,IT,San Francisco,Equipment,257609,489433
Q2 2023,IT,San Francisco,Utilities,389822,800003
Q2 2023,IT,San Francisco,Miscellaneous,337676,771922
Q2 2023,IT,San Francisco,Marketing,345138,936602
Q2 2023,IT,San Francisco,Consulting,319277,80676
Q2 2023,IT,San Francisco,Maintenance,519271,492908
Q2 2023,IT,San Francisco,Software Licenses,324412,167871
Q2 2023,IT,San Francisco,Healthcare,486417,456684
Q2 2023,IT,San Francisco,Security,432459,338727
Q2 2023,IT,San Francisco,Catering,189456,569528
Q2 2023,IT,San Francisco,Transportation,556941,556743
Q2 2023,IT,San Francisco,Legal Fees,158729,568127
Q2 2023,IT,Chicago,Salaries,958456,318199
Q2 2023,IT,Chicago,Office Supplies,940684,73019
Q2 2023,IT,Chicago,Travel,229504,711149
Q2 2023,IT,Chicago,Training,647117,695711
Q2 2023,IT,Chicago,Equipment,653665,719390
Q2 2023,IT,Chicago,Utilities,996915,366842
Q2 2023,IT,Chicago,Miscellaneous,526910,160750
Q2 2023,IT,Chicago,Marketing,574044,168029
Q2 2023,IT,Chicago,Consulting,41809,1055290
Q2 2023,IT,Chicago,Maintenance,542013,921992
Q2 2023,IT,Chicago,Software Licenses,717756,865848
Q2 2023,IT,Chicago,Healthcare,52226,620301
Q2 2023,IT,Chicago,Security,500512,421376
Q2 2023,IT,Chicago,Catering,606470,562893
Q2 2023,IT,Chicago,Transportation,476781,407469
Q2 2023,IT,Chicago,Legal Fees,30402,678863
Q2 2023,IT,Dallas,Salaries,5263,95599
Q2 2023,IT,Dallas,Office Supplies,752883,623473
Q2 2023,IT,Dallas,Travel,178900,760742
Q2 2023,IT,Dallas,Training,573212,925714
Q2 2023,IT,Dallas,Equipment,337326,606550
Q2 2023,IT,Dallas,Utilities,225137,180140
Q2 2023,IT,Dallas,Miscellaneous,453268,690408
Q2 2023,IT,Dallas,Marketing,930168,1080535
Q2 2023,IT,Dallas,Consulting,298881,42839
Q2 2023,IT,Dallas,Maintenance,364476,758062
Q2 2023,IT,Dallas,Software Licenses,352707,1097176
Q2 2023,IT,Dallas,Healthcare,685733,303705
Q2 2023,IT,Dallas,Security,511585,619714
Q2 2023,IT,Dallas,Catering,692757,480119
Q2 2023,IT,Dallas,Transportation,391719,699823
Q2 2023,IT,Dallas,Legal Fees,480361,958716
Q2 2023,IT,Boston,Salaries,102371,242124
Q2 2023,IT,Boston,Office Supplies,563997,510462
Q2 2023,IT,Boston,Travel,193192,429383
Q2 2023,IT,Boston,Training,151322,234029
Q2 2023,IT,Boston,Equipment,22172,838676
Q2 2023,IT,Boston,Utilities,536843,952573
Q2 2023,IT,Boston,Miscellaneous,997121,62548
Q2 2023,IT,Boston,Marketing,578564,1090566
Q2 2023,IT,Boston,Consulting,582780,1089694
Q2 2023,IT,Boston,Maintenance,709362,693178
Q2 2023,IT,Boston,Software Licenses,514319,124878
Q2 2023,IT,Boston,Healthcare,781298,40559
Q2 2023,IT,Boston,Security,877031,803730
Q2 2023,IT,Boston,Catering,990859,551077
Q2 2023,IT,Boston,Transportation,223320,379979
Q2 2023,IT,Boston,Legal Fees,418978,853809
Q2 2023,IT,Los Angeles,Salaries,12046,368175
Q2 2023,IT,Los Angeles,Office Supplies,229071,1033003
Q2 2023,IT,Los Angeles,Travel,379165,686259
Q2 2023,IT,Los Angeles,Training,947273,877132
Q2 2023,IT,Los Angeles,Equipment,709662,434655
Q2 2023,IT,Los Angeles,Utilities,417366,891911
Q2 2023,IT,Los Angeles,Miscellaneous,986751,286426
Q2 2023,IT,Los Angeles,Marketing,267997,1029625
Q2 2023,IT,Los Angeles,Consulting,646188,481333
Q2 2023,IT,Los Angeles,Maintenance,483615,817280
Q2 2023,IT,Los Angeles,Software Licenses,416008,921369
Q2 2023,IT,Los Angeles,Healthcare,584417,715854
Q2 2023,IT,Los Angeles,Security,762379,392437
Q2 2023,IT,Los Angeles,Catering,206550,249627
Q2 2023,IT,Los Angeles,Transportation,245883,246056
Q2 2023,IT,Los Angeles,Legal Fees,639418,344887
Q2 2023,IT,Seattle,Salaries,461514,22318
Q2 2023,IT,Seattle,Office Supplies,950491,411075
Q2 2023,IT,Seattle,Travel,672210,594891
Q2 2023,IT,Seattle,Training,930616,72324
Q2 2023,IT,Seattle,Equipment,122789,749670
Q2 2023,IT,Seattle,Utilities,680418,876804
Q2 2023,IT,Seattle,Miscellaneous,701780,592109
Q2 2023,IT,Seattle,Marketing,564178,736409
Q2 2023,IT,Seattle,Consulting,67017,282987
Q2 2023,IT,Seattle,Maintenance,179376,1051795
Q2 2023,IT,Seattle,Software Licenses,689281,769776
Q2 2023,IT,Seattle,Healthcare,500137,935444
Q2 2023,IT,Seattle,Security,657884,437500
Q2 2023,IT,Seattle,Catering,625712,341441
Q2 2023,IT,Seattle,Transportation,802480,633699
Q2 2023,IT,Seattle,Legal Fees,953615,587200
Q2 2023,IT,Austin,Salaries,694264,949414
Q2 2023,IT,Austin,Office Supplies,842344,803592
Q2 2023,IT,Austin,Travel,559296,758539
Q2 2023,IT,Austin,Training,394276,1041006
Q2 2023,IT,Austin,Equipment,731026,991471
Q2 2023,IT,Austin,Utilities,608847,265961
Q2 2023,IT,Austin,Miscellaneous,56337,349205
Q2 2023,IT,Austin,Marketing,898048,191996
Q2 2023,IT,Austin,Consulting,276494,591408
Q2 2023,IT,Austin,Maintenance,25354,338032
Q2 2023,IT,Austin,Software Licenses,46186,855767
Q2 2023,IT,Austin,Healthcare,553433,182217
Q2 2023,IT,Austin,Security,428236,241478
Q2 2023,IT,Austin,Catering,611411,344075
Q2 2023,IT,Austin,Transportation,500883,1071439
Q2 2023,IT,Austin,Legal Fees,731546,135470
Q2 2023,IT,Miami,Salaries,741829,11364
Q2 2023,IT,Miami,Office Supplies,545869,767212
Q2 2023,IT,Miami,Travel,614217,752594
Q2 2023,IT,Miami,Training,286195,312669
Q2 2023,IT,Miami,Equipment,576762,106740
Q2 2023,IT,Miami,Utilities,617036,978244
Q2 2023,IT,Miami,Miscellaneous,126995,587173
Q2 2023,IT,Miami,Marketing,246690,187151
Q2 2023,IT,Miami,Consulting,332770,473850
Q2 2023,IT,Miami,Maintenance,794392,456995
Q2 2023,IT,Miami,Software Licenses,429988,318772
Q2 2023,IT,Miami,Healthcare,940024,779694
Q2 2023,IT,Miami,Security,181553,1029320
Q2 2023,IT,Miami,Catering,561696,709838
Q2 2023,IT,Miami,Transportation,881438,87132
Q2 2023,IT,Miami,Legal Fees,260568,881837
Q2 2023,IT,Denver,Salaries,320278,255347
Q2 2023,IT,Denver,Office Supplies,152563,953665
Q2 2023,IT,Denver,Travel,657701,797547
Q2 2023,IT,Denver,Training,700983,310912
Q2 2023,IT,Denver,Equipment,615615,272051
Q2 2023,IT,Denver,Utilities,394554,580869
Q2 2023,IT,Denver,Miscellaneous,203503,266813
Q2 2023,IT,Denver,Marketing,144326,456711
Q2 2023,IT,Denver,Consulting,708220,454438
Q2 2023,IT,Denver,Maintenance,12344,495309
Q2 2023,IT,Denver,Software Licenses,395966,24246
Q2 2023,IT,Denver,Healthcare,973260,528911
Q2 2023,IT,Denver,Security,593245,145326
Q2 2023,IT,Denver,Catering,106423,660092
Q2 2023,IT,Denver,Transportation,321197,928524
Q2 2023,IT,Denver,Legal Fees,465071,205962
Q2 2023,Finance,New York,Salaries,672256,466996
Q2 2023,Finance,New York,Office Supplies,187833,273454
Q2 2023,Finance,New York,Travel,718912,666697
Q2 2023,Finance,New York,Training,776435,106735
Q2 2023,Finance,New York,Equipment,78454,856366
Q2 2023,Finance,New York,Utilities,258594,758793
Q2 2023,Finance,New York,Miscellaneous,512897,502243
Q2 2023,Finance,New York,Marketing,353744,254778
Q2 2023,Finance,New York,Consulting,910164,669942
Q2 2023,Finance,New York,Maintenance,517142,377724
Q2 2023,Finance,New York,Software Licenses,946439,388488
Q2 2023,Finance,New York,Healthcare,38641,517204
Q2 2023,Finance,New York,Security,554999,338664
Q2 2023,Finance,New York,Catering,857774,1071448
Q2 2023,Finance,New York,Transportation,370040,81815
Q2 2023,Finance,New York,Legal Fees,668542,225875
Q2 2023,Finance,San Francisco,Salaries,613121,177574
Q2 2023,Finance,San Francisco,Office Supplies,319420,365204
Q2 2023,Finance,San Francisco,Travel,282685,400073
Q2 2023,Finance,San Francisco,Training,881889,129059
Q2 2023,Finance,San Francisco,Equipment,476526,31716
Q2 2023,Finance,San Francisco,Utilities,45813,552356
Q2 2023,Finance,San Francisco,Miscellaneous,693558,24059
Q2 2023,Finance,San Francisco,Marketing,665180,447599
Q2 2023,Finance,San Francisco,Consulting,287214,604488
Q2 2023,Finance,San Francisco,Maintenance,988272,297237
Q2 2023,Finance,San Francisco,Software Licenses,929626,1056419
Q2 2023,Finance,San Francisco,Healthcare,343703,107809
Q2 2023,Finance,San Francisco,Security,205615,958946
Q2 2023,Finance,San Francisco,Catering,477657,162740
Q2 2023,Finance,San Francisco,Transportation,567074,810516
Q2 2023,Finance,San Francisco,Legal Fees,751294,638347
Q2 2023,Finance,Chicago,Salaries,756164,69800
Q2 2023,Finance,Chicago,Office Supplies,400953,84979
Q2 2023,Finance,Chicago,Travel,823494,785314
Q2 2023,Finance,Chicago,Training,972741,1073256
Q2 2023,Finance,Chicago,Equipment,839003,395518
Q2 2023,Finance,Chicago,Utilities,288654,726352
Q2 2023,Finance,Chicago,Miscellaneous,282570,469854
Q2 2023,Finance,Chicago,Marketing,38265,858198
Q2 2023,Finance,Chicago,Consulting,936354,173238
Q2 2023,Finance,Chicago,Maintenance,250321,421441
Q2 2023,Finance,Chicago,Software Licenses,67150,446344
Q2 2023,Finance,Chicago,Healthcare,612600,770440
Q2 2023,Finance,Chicago,Security,90613,480290
Q2 2023,Finance,Chicago,Catering,338054,804338
Q2 2023,Finance,Chicago,Transportation,839807,57531
Q2 2023,Finance,Chicago,Legal Fees,122826,249891
Q2 2023,Finance,Dallas,Salaries,560723,72126
Q2 2023,Finance,Dallas,Office Supplies,883875,773964
Q2 2023,Finance,Dallas,Travel,451348,338650
Q2 2023,Finance,Dallas,Training,211017,489768
Q2 2023,Finance,Dallas,Equipment,135055,458928
Q2 2023,Finance,Dallas,Utilities,491457,55445
Q2 2023,Finance,Dallas,Miscellaneous,677022,472226
Q2 2023,Finance,Dallas,Marketing,810942,82388
Q2 2023,Finance,Dallas,Consulting,734547,114493
Q2 2023,Finance,Dallas,Maintenance,697358,11367
Q2 2023,Finance,Dallas,Software Licenses,451062,1054167
Q2 2023,Finance,Dallas,Healthcare,95071,491288
Q2 2023,Finance,Dallas,Security,794072,132201
Q2 2023,Finance,Dallas,Catering,307691,206259
Q2 2023,Finance,Dallas,Transportation,842052,61832
Q2 2023,Finance,Dallas,Legal Fees,147389,700238
Q2 2023,Finance,Boston,Salaries,640896,875894
Q2 2023,Finance,Boston,Office Supplies,270708,862932
Q2 2023,Finance,Boston,Travel,683705,580697
Q2 2023,Finance,Boston,Training,639112,192434
Q2 2023,Finance,Boston,Equipment,255444,615133
Q2 2023,Finance,Boston,Utilities,604561,792935
Q2 2023,Finance,Boston,Miscellaneous,862291,748805
Q2 2023,Finance,Boston,Marketing,212837,1027257
Q2 2023,Finance,Boston,Consulting,111017,219962
Q2 2023,Finance,Boston,Maintenance,992542,1077052
Q2 2023,Finance,Boston,Software Licenses,124618,745500
Q2 2023,Finance,Boston,Healthcare,970897,456920
Q2 2023,Finance,Boston,Security,460297,978466
Q2 2023,Finance,Boston,Catering,126341,852401
Q2 2023,Finance,Boston,Transportation,816862,547163
Q2 2023,Finance,Boston,Legal Fees,731892,730876
Q2 2023,Finance,Los Angeles,Salaries,553076,1058680
Q2 2023,Finance,Los Angeles,Office Supplies,751865,130651
Q2 2023,Finance,Los Angeles,Travel,442759,998450
Q2 2023,Finance,Los Angeles,Training,932423,286972
Q2 2023,Finance,Los Angeles,Equipment,856778,564416
Q2 2023,Finance,Los Angeles,Utilities,883554,290245
Q2 2023,Finance,Los Angeles,Miscellaneous,565262,300959
Q2 2023,Finance,Los Angeles,Marketing,894741,561933
Q2 2023,Finance,Los Angeles,Consulting,541659,176031
Q2 2023,Finance,Los Angeles,Maintenance,832516,306658
Q2 2023,Finance,Los Angeles,Software Licenses,423845,288174
Q2 2023,Finance,Los Angeles,Healthcare,707544,1098638
Q2 2023,Finance,Los Angeles,Security,325060,1008505
Q2 2023,Finance,Los Angeles,Catering,599260,42522
Q2 2023,Finance,Los Angeles,Transportation,194259,964663
Q2 2023,Finance,Los Angeles,Legal Fees,276128,850028
Q2 2023,Finance,Seattle,Salaries,820471,696319
Q2 2023,Finance,Seattle,Office Supplies,610719,241540
Q2 2023,Finance,Seattle,Travel,871123,1026979
Q2 2023,Finance,Seattle,Training,846038,256216
Q2 2023,Finance,Seattle,Equipment,404832,771140
Q2 2023,Finance,Seattle,Utilities,890097,890656
Q2 2023,Finance,Seattle,Miscellaneous,630661,105497
Q2 2023,Finance,Seattle,Marketing,182144,757930
Q2 2023,Finance,Seattle,Consulting,812006,690834
Q2 2023,Finance,Seattle,Maintenance,921934,1028491
Q2 2023,Finance,Seattle,Software Licenses,251195,161611
Q2 2023,Finance,Seattle,Healthcare,144748,779292
Q2 2023,Finance,Seattle,Security,405032,258271
Q2 2023,Finance,Seattle,Catering,33733,92819
Q2 2023,Finance,Seattle,Transportation,742040,856617
Q2 2023,Finance,Seattle,Legal Fees,527338,219020
Q2 2023,Finance,Austin,Salaries,110996,558914
Q2 2023,Finance,Austin,Office Supplies,559221,635122
Q2 2023,Finance,Austin,Travel,550239,359149
Q2 2023,Finance,Austin,Training,557701,1062185
Q2 2023,Finance,Austin,Equipment,166873,1013294
Q2 2023,Finance,Austin,Utilities,711979,353265
Q2 2023,Finance,Austin,Miscellaneous,951417,789325
Q2 2023,Finance,Austin,Marketing,900005,569586
Q2 2023,Finance,Austin,Consulting,434816,819241
Q2 2023,Finance,Austin,Maintenance,714135,1000398
Q2 2023,Finance,Austin,Software Licenses,222888,391459
Q2 2023,Finance,Austin,Healthcare,786332,18518
Q2 2023,Finance,Austin,Security,746453,350562
Q2 2023,Finance,Austin,Catering,768950,63398
Q2 2023,Finance,Austin,Transportation,167472,833854
Q2 2023,Finance,Austin,Legal Fees,398710,571753
Q2 2023,Finance,Miami,Salaries,212760,819506
Q2 2023,Finance,Miami,Office Supplies,123744,146875
Q2 2023,Finance,Miami,Travel,876863,449910
Q2 2023,Finance,Miami,Training,731051,222316
Q2 2023,Finance,Miami,Equipment,502946,554160
Q2 2023,Finance,Miami,Utilities,44001,34517
Q2 2023,Finance,Miami,Miscellaneous,592652,219217
Q2 2023,Finance,Miami,Marketing,912420,158523
Q2 2023,Finance,Miami,Consulting,832460,380146
Q2 2023,Finance,Miami,Maintenance,239506,962595
Q2 2023,Finance,Miami,Software Licenses,754019,385333
Q2 2023,Finance,Miami,Healthcare,431789,110325
Q2 2023,Finance,Miami,Security,657166,1054022
Q2 2023,Finance,Miami,Catering,911775,302657
Q2 2023,Finance,Miami,Transportation,712998,285129
Q2 2023,Finance,Miami,Legal Fees,653589,347207
Q2 2023,Finance,Denver,Salaries,913727,754816
Q2 2023,Finance,Denver,Office Supplies,500722,577195
Q2 2023,Finance,Denver,Travel,686117,769953
Q2 2023,Finance,Denver,Training,559924,804795
Q2 2023,Finance,Denver,Equipment,736457,278645
Q2 2023,Finance,Denver,Utilities,180352,966521
Q2 2023,Finance,Denver,Miscellaneous,811694,740582
Q2 2023,Finance,Denver,Marketing,867867,496139
Q2 2023,Finance,Denver,Consulting,194283,653419
Q2 2023,Finance,Denver,Maintenance,973346,685570
Q2 2023,Finance,Denver,Software Licenses,916015,100080
Q2 2023,Finance,Denver,Healthcare,451195,714875
Q2 2023,Finance,Denver,Security,770884,1035272
Q2 2023,Finance,Denver,Catering,999974,1088041
Q2 2023,Finance,Denver,Transportation,432413,278901
Q2 2023,Finance,Denver,Legal Fees,304988,966431
Q2 2023,Marketing,New York,Salaries,327898,981893
Q2 2023,Marketing,New York,Office Supplies,952661,849152
Q2 2023,Marketing,New York,Travel,864561,689035
Q2 2023,Marketing,New York,Training,303186,114628
Q2 2023,Marketing,New York,Equipment,62665,911084
Q2 2023,Marketing,New York,Utilities,247584,990069
Q2 2023,Marketing,New York,Miscellaneous,117953,33156
Q2 2023,Marketing,New York,Marketing,477072,961675
Q2 2023,Marketing,New York,Consulting,683736,272409
Q2 2023,Marketing,New York,Maintenance,187626,197122
Q2 2023,Marketing,New York,Software Licenses,146271,46823
Q2 2023,Marketing,New York,Healthcare,119533,178496
Q2 2023,Marketing,New York,Security,999916,427292
Q2 2023,Marketing,New York,Catering,969452,858875
Q2 2023,Marketing,New York,Transportation,599069,210884
Q2 2023,Marketing,New York,Legal Fees,466966,479864
Q2 2023,Marketing,San Francisco,Salaries,67262,473719
Q2 2023,Marketing,San Francisco,Office Supplies,834032,1066676
Q2 2023,Marketing,San Francisco,Travel,77898,323233
Q2 2023,Marketing,San Francisco,Training,456699,464523
Q2 2023,Marketing,San Francisco,Equipment,150369,945213
Q2 2023,Marketing,San Francisco,Utilities,555736,20459
Q2 2023,Marketing,San Francisco,Miscellaneous,289316,687563
Q2 2023,Marketing,San Francisco,Marketing,961378,11160
Q2 2023,Marketing,San Francisco,Consulting,8657,808656
Q2 2023,Marketing,San Francisco,Maintenance,478602,49591
Q2 2023,Marketing,San Francisco,Software Licenses,781977,397081
Q2 2023,Marketing,San Francisco,Healthcare,943929,558458
Q2 2023,Marketing,San Francisco,Security,945189,725991
Q2 2023,Marketing,San Francisco,Catering,375999,1076585
Q2 2023,Marketing,San Francisco,Transportation,943082,502303
Q2 2023,Marketing,San Francisco,Legal Fees,685191,283871
Q2 2023,Marketing,Chicago,Salaries,8906,504423
Q2 2023,Marketing,Chicago,Office Supplies,324557,618342
Q2 2023,Marketing,Chicago,Travel,579316,865645
Q2 2023,Marketing,Chicago,Training,794719,1038241
Q2 2023,Marketing,Chicago,Equipment,296804,748362
Q2 2023,Marketing,Chicago,Utilities,469974,1042171
Q2 2023,Marketing,Chicago,Miscellaneous,847936,706114
Q2 2023,Marketing,Chicago,Marketing,716080,872989
Q2 2023,Marketing,Chicago,Consulting,628267,952737
Q2 2023,Marketing,Chicago,Maintenance,35701,803164
Q2 2023,Marketing,Chicago,Software Licenses,84300,58603
Q2 2023,Marketing,Chicago,Healthcare,766537,581715
Q2 2023,Marketing,Chicago,Security,674034,1094756
Q2 2023,Marketing,Chicago,Catering,84560,161122
Q2 2023,Marketing,Chicago,Transportation,243615,832260
Q2 2023,Marketing,Chicago,Legal Fees,942378,671455
Q2 2023,Marketing,Dallas,Salaries,44642,998509
Q2 2023,Marketing,Dallas,Office Supplies,518083,273467
Q2 2023,Marketing,Dallas,Travel,492036,538857
Q2 2023,Marketing,Dallas,Training,328304,112835
Q2 2023,Marketing,Dallas,Equipment,805034,681717
Q2 2023,Marketing,Dallas,Utilities,366464,759887
Q2 2023,Marketing,Dallas,Miscellaneous,614089,341326
Q2 2023,Marketing,Dallas,Marketing,289075,898171
Q2 2023,Marketing,Dallas,Consulting,95377,865944
Q2 2023,Marketing,Dallas,Maintenance,816624,210954
Q2 2023,Marketing,Dallas,Software Licenses,833974,980332
Q2 2023,Marketing,Dallas,Healthcare,914447,523597
Q2 2023,Marketing,Dallas,Security,829952,991920
Q2 2023,Marketing,Dallas,Catering,327916,1047806
Q2 2023,Marketing,Dallas,Transportation,452978,269574
Q2 2023,Marketing,Dallas,Legal Fees,313250,911706
Q2 2023,Marketing,Boston,Salaries,606409,361813
Q2 2023,Marketing,Boston,Office Supplies,26559,415199
Q2 2023,Marketing,Boston,Travel,893027,884517
Q2 2023,Marketing,Boston,Training,559030,255609
Q2 2023,Marketing,Boston,Equipment,857101,960548
Q2 2023,Marketing,Boston,Utilities,998703,730472
Q2 2023,Marketing,Boston,Miscellaneous,678114,1064397
Q2 2023,Marketing,Boston,Marketing,136044,449581
Q2 2023,Marketing,Boston,Consulting,858263,442059
Q2 2023,Marketing,Boston,Maintenance,113217,729310
Q2 2023,Marketing,Boston,Software Licenses,567161,65161
Q2 2023,Marketing,Boston,Healthcare,893964,797587
Q2 2023,Marketing,Boston,Security,913699,705164
Q2 2023,Marketing,Boston,Catering,404119,161586
Q2 2023,Marketing,Boston,Transportation,659380,542286
Q2 2023,Marketing,Boston,Legal Fees,829187,329895
Q2 2023,Marketing,Los Angeles,Salaries,873388,919956
Q2 2023,Marketing,Los Angeles,Office Supplies,87988,910975
Q2 2023,Marketing,Los Angeles,Travel,570936,934873
Q2 2023,Marketing,Los Angeles,Training,126991,735280
Q2 2023,Marketing,Los Angeles,Equipment,403732,122501
Q2 2023,Marketing,Los Angeles,Utilities,507079,493081
Q2 2023,Marketing,Los Angeles,Miscellaneous,902437,1055539
Q2 2023,Marketing,Los Angeles,Marketing,527684,981391
Q2 2023,Marketing,Los Angeles,Consulting,85082,849303
Q2 2023,Marketing,Los Angeles,Maintenance,937633,1065441
Q2 2023,Marketing,Los Angeles,Software Licenses,129322,905201
Q2 2023,Marketing,Los Angeles,Healthcare,657951,346400
Q2 2023,Marketing,Los Angeles,Security,12303,498521
Q2 2023,Marketing,Los Angeles,Catering,162633,249724
Q2 2023,Marketing,Los Angeles,Transportation,334863,704508
Q2 2023,Marketing,Los Angeles,Legal Fees,250690,545317
Q2 2023,Marketing,Seattle,Salaries,785108,546189
Q2 2023,Marketing,Seattle,Office Supplies,100616,207735
Q2 2023,Marketing,Seattle,Travel,911597,191277
Q2 2023,Marketing,Seattle,Training,87231,300865
Q2 2023,Marketing,Seattle,Equipment,270458,471023
Q2 2023,Marketing,Seattle,Utilities,20623,415087
Q2 2023,Marketing,Seattle,Miscellaneous,724035,722278
Q2 2023,Marketing,Seattle,Marketing,491042,180154
Q2 2023,Marketing,Seattle,Consulting,459298,321389
Q2 2023,Marketing,Seattle,Maintenance,477840,737227
Q2 2023,Marketing,Seattle,Software Licenses,106228,86579
Q2 2023,Marketing,Seattle,Healthcare,427346,1052436
Q2 2023,Marketing,Seattle,Security,708116,650894
Q2 2023,Marketing,Seattle,Catering,885056,340774
Q2 2023,Marketing,Seattle,Transportation,682652,545807
Q2 2023,Marketing,Seattle,Legal Fees,899217,551413
